week,sku,units_returned,reason
2026-W18,NOV-ST-GLD,5,changed mind
2026-W19,NOV-ST-GLD,4,colour differs
2026-W21,NOV-ST-GLD,4,changed mind
2026-W22,NOV-ST-GLD,5,changed mind
2026-W23,NOV-ST-GLD,4,changed mind
2026-W24,NOV-ST-GLD,4,changed mind
2026-W25,NOV-ST-GLD,5,colour differs
2026-W26,NOV-ST-GLD,3,colour differs
2026-W27,NOV-ST-GLD,3,changed mind
2026-W28,NOV-ST-GLD,3,colour differs
2026-W06,NOV-ST-SLV,4,colour differs
2026-W08,NOV-ST-SLV,3,changed mind
2026-W10,NOV-ST-SLV,2,changed mind
2026-W11,NOV-ST-SLV,2,changed mind
2026-W13,NOV-ST-SLV,4,changed mind
2026-W15,NOV-ST-SLV,4,changed mind
2026-W18,NOV-ST-SLV,2,changed mind
2026-W20,NOV-ST-SLV,3,changed mind
2026-W23,NOV-ST-SLV,4,changed mind
2026-W24,NOV-ST-SLV,3,changed mind
2026-W25,NOV-ST-SLV,4,changed mind
2026-W27,NOV-ST-SLV,3,changed mind
2026-W06,THE-CH-GLD,1,changed mind
2026-W08,THE-CH-GLD,2,changed mind
2026-W09,THE-CH-GLD,2,changed mind
2026-W11,THE-CH-GLD,2,changed mind
2026-W12,THE-CH-GLD,2,changed mind
2026-W15,THE-CH-GLD,2,changed mind
2026-W16,THE-CH-GLD,2,changed mind
2026-W17,THE-CH-GLD,2,changed mind
2026-W20,THE-CH-GLD,2,changed mind
2026-W28,THE-CH-GLD,3,changed mind
2026-W29,THE-CH-GLD,2,changed mind
2026-W31,THE-CH-GLD,2,colour differs
2026-W06,SOL-AV-GLD,3,changed mind
2026-W08,SOL-AV-GLD,3,changed mind
2026-W09,SOL-AV-GLD,4,colour differs
2026-W10,SOL-AV-GLD,4,changed mind
2026-W11,SOL-AV-GLD,3,colour differs
2026-W13,SOL-AV-GLD,2,colour differs
2026-W15,SOL-AV-GLD,4,changed mind
2026-W16,SOL-AV-GLD,4,changed mind
2026-W17,SOL-AV-GLD,2,changed mind
2026-W18,SOL-AV-GLD,3,changed mind
2026-W22,SOL-AV-GLD,4,colour differs
2026-W23,SOL-AV-GLD,3,changed mind
2026-W24,SOL-AV-GLD,3,changed mind
2026-W26,SOL-AV-GLD,4,changed mind
2026-W29,SOL-AV-GLD,2,changed mind
2026-W30,SOL-AV-GLD,2,changed mind
2026-W31,SOL-AV-GLD,2,changed mind
2026-W06,SOL-AV-BLK,3,changed mind
2026-W12,SOL-AV-BLK,3,changed mind
2026-W13,SOL-AV-BLK,3,colour differs
2026-W15,SOL-AV-BLK,2,colour differs
2026-W18,SOL-AV-BLK,2,changed mind
2026-W19,SOL-AV-BLK,3,changed mind
2026-W20,SOL-AV-BLK,3,colour differs
2026-W22,SOL-AV-BLK,3,colour differs
2026-W23,SOL-AV-BLK,3,colour differs
2026-W24,SOL-AV-BLK,3,changed mind
2026-W25,SOL-AV-BLK,3,changed mind
2026-W27,SOL-AV-BLK,2,colour differs
2026-W28,SOL-AV-BLK,2,changed mind
2026-W30,SOL-AV-BLK,1,colour differs
2026-W09,MIR-CE-BLK,4,colour differs
2026-W10,MIR-CE-BLK,2,colour differs
2026-W12,MIR-CE-BLK,3,changed mind
2026-W13,MIR-CE-BLK,3,colour differs
2026-W15,MIR-CE-BLK,3,colour differs
2026-W18,MIR-CE-BLK,3,changed mind
2026-W20,MIR-CE-BLK,2,changed mind
2026-W21,MIR-CE-BLK,2,changed mind
2026-W22,MIR-CE-BLK,3,colour differs
2026-W27,MIR-CE-BLK,2,changed mind
2026-W30,MIR-CE-BLK,2,changed mind
2026-W06,MIR-CE-TOR,2,colour differs
2026-W08,MIR-CE-TOR,2,changed mind
2026-W09,MIR-CE-TOR,2,changed mind
2026-W10,MIR-CE-TOR,2,colour differs
2026-W11,MIR-CE-TOR,2,colour differs
2026-W14,MIR-CE-TOR,2,colour differs
2026-W15,MIR-CE-TOR,2,colour differs
2026-W16,MIR-CE-TOR,3,colour differs
2026-W19,MIR-CE-TOR,2,colour differs
2026-W20,MIR-CE-TOR,2,changed mind
2026-W25,MIR-CE-TOR,2,changed mind
2026-W29,MIR-CE-TOR,2,changed mind
2026-W06,KAI-RD-GLD,2,colour differs
2026-W07,KAI-RD-GLD,2,colour differs
2026-W09,KAI-RD-GLD,2,changed mind
2026-W10,KAI-RD-GLD,3,colour differs
2026-W11,KAI-RD-GLD,2,changed mind
2026-W13,KAI-RD-GLD,2,changed mind
2026-W14,KAI-RD-GLD,2,colour differs
2026-W15,KAI-RD-GLD,3,changed mind
2026-W17,KAI-RD-GLD,2,changed mind
2026-W18,KAI-RD-GLD,3,changed mind
2026-W26,KAI-RD-GLD,1,changed mind
2026-W30,KAI-RD-GLD,2,changed mind
2026-W07,KAI-RD-BLK,2,changed mind
2026-W10,KAI-RD-BLK,1,changed mind
2026-W12,KAI-RD-BLK,2,changed mind
2026-W15,KAI-RD-BLK,2,changed mind
2026-W16,KAI-RD-BLK,2,changed mind
2026-W18,KAI-RD-BLK,1,changed mind
2026-W26,KAI-RD-BLK,2,colour differs
2026-W07,ROW-BT-BLK,2,changed mind
2026-W08,ROW-BT-BLK,2,colour differs
2026-W15,ROW-BT-BLK,2,colour differs
2026-W19,ROW-BT-BLK,2,changed mind
2026-W20,ROW-BT-BLK,2,changed mind
2026-W21,ROW-BT-BLK,3,colour differs
2026-W22,ROW-BT-BLK,2,changed mind
2026-W24,ROW-BT-BLK,3,colour differs
2026-W27,ROW-BT-BLK,1,colour differs
2026-W29,ROW-BT-BLK,2,changed mind
2026-W06,ROW-BT-TAN,2,changed mind
2026-W07,ROW-BT-TAN,1,changed mind
2026-W08,ROW-BT-TAN,2,colour differs
2026-W10,ROW-BT-TAN,1,colour differs
2026-W11,ROW-BT-TAN,1,changed mind
2026-W16,ROW-BT-TAN,2,changed mind
2026-W21,ROW-BT-TAN,2,colour differs
2026-W23,ROW-BT-TAN,2,colour differs
2026-W25,ROW-BT-TAN,2,changed mind
2026-W29,ROW-BT-TAN,2,changed mind
2026-W30,ROW-BT-TAN,1,changed mind
2026-W06,QUI-CH-BLK,3,changed mind
2026-W07,QUI-CH-BLK,3,changed mind
2026-W09,QUI-CH-BLK,3,colour differs
2026-W12,QUI-CH-BLK,3,changed mind
2026-W14,QUI-CH-BLK,3,colour differs
2026-W16,QUI-CH-BLK,4,changed mind
2026-W20,QUI-CH-BLK,4,changed mind
2026-W21,QUI-CH-BLK,4,changed mind
2026-W22,QUI-CH-BLK,3,changed mind
2026-W23,QUI-CH-BLK,4,colour differs
2026-W26,QUI-CH-BLK,4,colour differs
2026-W31,QUI-CH-BLK,2,colour differs
2026-W06,QUI-CH-TAN,2,changed mind
2026-W08,QUI-CH-TAN,2,changed mind
2026-W09,QUI-CH-TAN,2,colour differs
2026-W11,QUI-CH-TAN,2,changed mind
2026-W12,QUI-CH-TAN,1,colour differs
2026-W13,QUI-CH-TAN,2,changed mind
2026-W14,QUI-CH-TAN,2,colour differs
2026-W22,QUI-CH-TAN,2,changed mind
2026-W26,QUI-CH-TAN,3,changed mind
2026-W27,QUI-CH-TAN,1,colour differs
2026-W28,QUI-CH-TAN,2,changed mind
2026-W06,FAY-WL-BLK,1,changed mind
2026-W07,FAY-WL-BLK,2,changed mind
2026-W08,FAY-WL-BLK,2,changed mind
2026-W11,FAY-WL-BLK,2,changed mind
2026-W14,FAY-WL-BLK,2,changed mind
2026-W15,FAY-WL-BLK,1,changed mind
2026-W16,FAY-WL-BLK,2,colour differs
2026-W24,FAY-WL-BLK,2,changed mind
2026-W31,FAY-WL-BLK,2,changed mind
2026-W09,FAY-WL-TAN,1,colour differs
2026-W10,FAY-WL-TAN,1,colour differs
2026-W11,FAY-WL-TAN,1,changed mind
2026-W13,FAY-WL-TAN,1,changed mind
2026-W14,FAY-WL-TAN,1,colour differs
2026-W15,FAY-WL-TAN,1,changed mind
2026-W18,FAY-WL-TAN,1,changed mind
2026-W19,FAY-WL-TAN,1,changed mind
2026-W20,FAY-WL-TAN,1,changed mind
2026-W22,FAY-WL-TAN,1,changed mind
2026-W23,FAY-WL-TAN,1,colour differs
2026-W25,FAY-WL-TAN,2,changed mind
2026-W26,FAY-WL-TAN,1,changed mind
2026-W27,FAY-WL-TAN,1,colour differs
2026-W28,FAY-WL-TAN,1,changed mind
2026-W30,FAY-WL-TAN,1,colour differs
2026-W31,FAY-WL-TAN,1,changed mind
2026-W06,IRI-PC-BLK,1,colour differs
2026-W08,IRI-PC-BLK,2,colour differs
2026-W09,IRI-PC-BLK,2,changed mind
2026-W10,IRI-PC-BLK,1,colour differs
2026-W11,IRI-PC-BLK,1,changed mind
2026-W13,IRI-PC-BLK,1,colour differs
2026-W14,IRI-PC-BLK,1,changed mind
2026-W15,IRI-PC-BLK,2,colour differs
2026-W16,IRI-PC-BLK,2,changed mind
2026-W17,IRI-PC-BLK,1,changed mind
2026-W20,IRI-PC-BLK,1,changed mind
2026-W23,IRI-PC-BLK,1,colour differs
2026-W25,IRI-PC-BLK,2,colour differs
2026-W27,IRI-PC-BLK,2,changed mind
2026-W31,IRI-PC-BLK,2,changed mind
2026-W07,TIL-CM-GLD,1,colour differs
2026-W08,TIL-CM-GLD,1,colour differs
2026-W09,TIL-CM-GLD,1,colour differs
2026-W12,TIL-CM-GLD,1,colour differs
2026-W15,TIL-CM-GLD,1,changed mind
2026-W21,TIL-CM-GLD,1,changed mind
2026-W23,TIL-CM-GLD,2,colour differs
2026-W24,TIL-CM-GLD,2,colour differs
2026-W27,TIL-CM-GLD,1,colour differs
2026-W28,TIL-CM-GLD,1,changed mind
2026-W29,TIL-CM-GLD,1,colour differs
2026-W30,TIL-CM-GLD,1,changed mind
2026-W31,TIL-CM-GLD,1,changed mind
2026-W06,TIL-CM-MIX,1,changed mind
2026-W09,TIL-CM-MIX,1,changed mind
2026-W10,TIL-CM-MIX,1,changed mind
2026-W11,TIL-CM-MIX,1,changed mind
2026-W14,TIL-CM-MIX,1,colour differs
2026-W18,TIL-CM-MIX,1,colour differs
2026-W19,TIL-CM-MIX,1,colour differs
2026-W20,TIL-CM-MIX,1,colour differs
2026-W22,TIL-CM-MIX,1,colour differs
2026-W23,TIL-CM-MIX,1,colour differs
2026-W26,TIL-CM-MIX,1,colour differs
2026-W08,BO-TSL-TAN,1,changed mind
2026-W09,BO-TSL-TAN,1,changed mind
2026-W11,BO-TSL-TAN,1,colour differs
2026-W13,BO-TSL-TAN,1,colour differs
2026-W18,BO-TSL-TAN,1,colour differs
2026-W19,BO-TSL-TAN,1,changed mind
2026-W21,BO-TSL-TAN,1,changed mind
2026-W22,BO-TSL-TAN,1,changed mind
2026-W24,BO-TSL-TAN,1,colour differs
2026-W25,BO-TSL-TAN,1,colour differs
2026-W28,BO-TSL-TAN,1,changed mind
2026-W29,BO-TSL-TAN,1,changed mind
2026-W30,BO-TSL-TAN,1,colour differs
2026-W31,BO-TSL-TAN,1,colour differs
